text,Description
croma shoes,shopping
train snack,travel
ajio items,shopping
ikea shoes,shopping
PRO sub,entertainment
puma shirt,shopping
PUMA items,shopping
train ticket,travel
mandat debit,other
train ride,travel
dominos snack,food
kfc snacks,food
uber pass,travel
grocery basket,shopping
ikea item,shopping
ikea gear,shopping
charge PAYMENT,other
FEE mandate,other
audible pass,entertainment
flight SNACKS,travel
zee5 musi,entertainment
audible pass,entertainment
spotify movie,entertainment
lyft seat,travel
bikanervala wrap,food
flipkart purchase,shopping
irctc transfe,travel
HOTSTAR renta,entertainment
TRAIN snacks,food
flight snacks,travel
plus sub,entertainment
meesho bag,shopping
ADIDAS baske,shopping
psplus game,entertainment
rapido TOLL,travel
fee unknown,other
pro sub,entertainment
faasos roll,food
lenskart jeans,shopping
credit fee,other
haldirams combo,food
renewal RENEWAL,other
nykaa items,shopping
renewal renewa,other
credit renewal,other
TXN txn,other
revv pass,travel
decathlon orde,shopping
payment debi,other
NIKE gear,shopping
bookmyshow renta,entertainment
payment ADJUSTMEN,other
train snacks,travel
dominos wrap,food
vistara pass,travel
SPICEJET SHUTTLE,travel
txn UNKNOW,other
revv RIDE,travel
zee5 movie,entertainment
decathlon order,shopping
xbox class,entertainment
tacobel biryani,food
AMAZON shirt,shopping
auto TRANSFER,other
adida order,shopping
charge auto,other
bus trip,travel
audible movie,entertainment
audible music,entertainment
dominos biryani,food
hm basket,shopping
airport wrap,food
payment hold,other
youtube subscription,entertainment
NIKE items,shopping
ola ticket,travel
metro commut,travel
grocery basket,shopping
misc transfer,other
meesho GEAR,shopping
steam game,entertainment
vistara fare,travel
metr ticket,travel
metro ride,travel
puma order,shopping
hold RENEWA,other
STEAM event,entertainment
zoomcar seat,travel
youtube game,entertainment
servic FEE,other
airport booking,travel
primevideo ENTRY,entertainment
CREDIT misc,other
bookmyshow pass,entertainment
AIRINDIA commute,travel
charge transfer,other
TXN credit,other
ikea shirt,shopping
mandate renewal,other
bigbaske wrap,food
mandate auto,other
indigo journe,travel
zee5 subscription,entertainment
servic mandate,other
IKEA shirt,shopping
plus sub,entertainment
UNKNOW balance,other
youtube stream,entertainment
flight snacks,travel
blinkit parcel,food
netflix STREAM,entertainment
STEAM CONCERT,entertainment
AIRPORT snacks,food
netflix subscription,entertainment
fee servic,other
ola TOLL,travel
DEBI fee,other
youtube game,entertainment
PROCESSING CREDIT,other
unknown adjustment,other
hold service,other
nykaa gear,shopping
netflix musi,entertainment
mandate credit,other
spicejet transfer,travel
metro ticket,travel
audible movie,entertainment
behrouz shake,food
decathlo gear,shopping
grocery BASKET,shopping
AIRPORT meal,food
STEAM subscriptio,entertainment
metro ride,travel
starbucks parcel,food
bookmyshow stream,entertainment
subway biryani,food
DECATHLON WATCH,shopping
audible rental,entertainment
TRAIN SNACK,food
vistara journey,travel
eatfit dinne,food
renewal RENEWA,other
kfc meal,food
dominos dinne,food
charge fee,other
fee AMOUNT,other
airport buffet,food
puma watch,shopping
ZEE5 MOVIE,entertainment
decathlon order,shopping
train snacks,travel
ola ticket,travel
spicejet journey,travel
audible movi,entertainment
train meal,food
ZOOMCAR SEAT,travel
NIKE purchase,shopping
balance processing,other
amazon jeans,shopping
BEHROUZ shake,food
FLIGHT snacks,travel
renewal hold,other
MYNTRA items,shopping
airpor combo,food
charge entry,other
mcdonalds rice,food
steam subscription,entertainment
revv parking,travel
misc DEBIT,other
processing ecs,other
FLIPKART BAG,shopping
primevide pass,entertainment
ola booking,travel
zara set,shopping
transfe mandate,other
youtube ticket,entertainment
uber trip,travel
transfer processing,other
flight snacks,travel
swiggy snacks,food
auto entry,other
ola ride,travel
hm BAG,shopping
swiggy meal,food
uber seat,travel
gaana pass,entertainment
bikanervala roll,food
PRIMEVIDEO game,entertainment
misc ADJUSTMENT,other
fee payment,other
dmart basket,shopping
ola fare,travel
flipkar jeans,shopping
zomato wrap,food
zee5 concert,entertainment
haldirams wrap,food
ecs SERVICE,other
zara jeans,shopping
zara purchase,shopping
entr renewal,other
renewa amoun,other
flight snacks,travel
train SNACKS,travel
SONY show,entertainment
amazo order,shopping
dmart basket,shopping
adjustment hold,other
gaana game,entertainment
indigo parking,travel
airindia journey,travel
entr payment,other
misc hold,other
FAASOS snacks,food
ola ticket,travel
faaso thali,food
train snacks,travel
train MEAL,food
subway biryani,food
airport snacks,food
pro sub,entertainment
txn amoun,other
bigbasket coffee,food
transfer debit,other
train meal,food
balance balance,other
prime sub,entertainment
charge auto,other
balance auto,other
bikanerval coffee,food
plus sub,entertainment
unknown ecs,other
tacobell BUFFET,food
flight snacks,travel
pro SUB,entertainment
zara cart,shopping
zoomcar toll,travel
tacobell lunch,food
netflix stream,entertainment
prime sub,entertainment
entry amount,other
NYKAA gear,shopping
hm basket,shopping
hotstar rental,entertainment
xbox SHOW,entertainment
auto adjustmen,other
faasos thali,food
ikea item,shopping
spicejet journey,travel
YOUTUBE event,entertainment
ikea shoes,shopping
irctc journey,travel
balance amount,other
ecs credit,other
ZEE5 entry,entertainment
renewal unknown,other
plus sub,entertainment
ajio items,shopping
unknow auto,other
psplus TICKE,entertainment
spotify game,entertainment
subwa snack,food
AIRPOR bread,food
gaana concert,entertainment
txn ENTRY,other
swiggy burger,food
sony pass,entertainment
blinkit COFFEE,food
dmart basket,shopping
youtube subscription,entertainment
metro transfer,travel
auto credit,other
payment debit,other
nike shoes,shopping
spicejet pass,travel
adidas jacke,shopping
nike gear,shopping
meesho shirt,shopping
ecs auto,other
train snacks,food
zomato combo,food
metro PARKING,travel
tacobell combo,food
REVV ride,travel
hotstar pass,entertainment
youtube music,entertainment
lenskart order,shopping
hotstar movie,entertainment
zepto MEAL,food
BOX8 BREAD,food
prime sub,entertainment
hotsta pass,entertainment
meesho basket,shopping
airport parking,travel
behrouz snacks,food
dominos snacks,food
AMAZON watch,shopping
adjustment HOLD,other
ADIDAS shir,shopping
dominos SNACKS,food
STEAM musi,entertainment
box8 milk,food
puma bag,shopping
unknown servic,other
INDIG toll,travel
zomato pizza,food
youtube RENTAL,entertainment
entry amount,other
spotify game,entertainment
grocery baske,shopping
nike SHOES,shopping
IKEA shirt,shopping
primevideo movie,entertainment
transfer TXN,other
adidas basket,shopping
RENEWAL unknown,other
fee processing,other
decathlo bag,shopping
prime sub,entertainment
pro sub,entertainment
rapido booking,travel
flipkart basket,shopping
XBOX ticket,entertainment
blinkit THALI,food
prime sub,entertainment
SONY clas,entertainment
uber fare,travel
nykaa cart,shopping
primevideo class,entertainment
hold payment,other
zoomcar trip,travel
steam entry,entertainment
PUMA shoes,shopping
train snacks,travel
audible entry,entertainment
airport meal,food
xbox subscriptio,entertainment
FLIGHT snacks,travel
haldirams WRAP,food
zee5 stream,entertainment
flight snacks,travel
uber bookin,travel
ubereats parcel,food
fligh snacks,travel
UBEREATS burge,food
balance balance,other
adjustmen hold,other
zee5 pass,entertainment
dmart basket,shopping
netflix music,entertainment
EATFIT rice,food
PRIME sub,entertainment
IRCTC fare,travel
SERVICE credit,other
hm ITEMS,shopping
auto ecs,other
spotify subscription,entertainment
ikea order,shopping
decathlon baske,shopping
spicejet transfer,travel
payment service,other
nykaa BASKET,shopping
vistara fare,travel
ecs processing,other
myntra set,shopping
nike items,shopping
TRANSFER hold,other
mandate credit,other
debit service,other
airport snack,food
airport MEAL,food
HOTSTAR rental,entertainment
TRAIN snacks,travel
hold FEE,other
youtube stream,entertainment
grocery baske,shopping
netflix CONCER,entertainment
entry processing,other
revv parking,travel
audibl show,entertainment
CREDIT auto,other
audible music,entertainment
primevide entry,entertainment
nykaa watch,shopping
youtube event,entertainment
ubereats bread,food
indig ticke,travel
airport meal,food
credit auto,other
lenskart purchase,shopping
croma jeans,shopping
train meal,food
HM cart,shopping
netflix class,entertainment
bookmysho EVENT,entertainment
fligh snacks,travel
transfer service,other
zepto buffet,food
spotify show,entertainment
ajio shir,shopping
entry credi,other
primevideo subscription,entertainment
hotstar event,entertainment
BOOKMYSHOW concert,entertainment
service balance,other
entr unknown,other
tacobell LUNCH,food
uber TICKE,travel
grocery basket,shopping
ZOOMCAR parking,travel
HOLD amount,other
eatfit shake,food
flipkart CART,shopping
faasos dinner,food
subwa SHAKE,food
OLA seat,travel
amount adjustment,other
LENSKART order,shopping
nike shir,shopping
AIRPORT seat,travel
grocery basket,shopping
ikea items,shopping
renewal ecs,other
vistar pass,travel
youtub pass,entertainment
lenskart shoes,shopping
adidas ITEMS,shopping
sony movie,entertainment
amazon jeans,shopping
zomato shake,food
myntr basket,shopping
flipkart jacket,shopping
NYKAA jacke,shopping
GROCERY basket,shopping
BOOKMYSHOW strea,entertainment
xbox concert,entertainment
ikea WATCH,shopping
psplus game,entertainment
service processin,other
unknown charge,other
nike shoes,shopping
UBER seat,travel
TRAIN MEAL,food
steam game,entertainment
airport coffee,food
HOTSTAR renta,entertainment
train SNACKS,travel
youtube PASS,entertainment
trai snacks,travel
bigbasket coffee,food
airport SNACKS,food
fligh snacks,travel
prime sub,entertainment
youtube event,entertainment
pro sub,entertainment
psplu concer,entertainment
train snacks,travel
AUTO balance,other
BLINKIT meal,food
flight snacks,travel
auto RENEWA,other
bikanervala lunch,food
netflix PASS,entertainment
ikea order,shopping
subway coffee,food
zepto meal,food
youtube pass,entertainment
ZEPTO snacks,food
zoomcar ticket,travel
psplus stream,entertainment
metro journey,travel
instamart thal,food
bookmyshow concert,entertainment
train snacks,travel
hold charge,other
flight SNACKS,travel
steam game,entertainment
croma purchase,shopping
irctc ride,travel
pro SUB,entertainment
rapid transfer,travel
entry mandate,other
amazon basket,shopping
crom gear,shopping
spicejet ticket,travel
swiggy wrap,food
PAYMENT transfer,other
hotstar SHOW,entertainment
airport TICKE,travel
zee5 stream,entertainment
xbox entry,entertainment
youtube pass,entertainment
bigbaske meal,food
eatfit biryani,food
BUS shuttl,travel
bikanervala coffee,food
BIKANERVALA biryani,food
haldirams lunch,food
train snacks,food
unknown processing,other
airport milk,food
swiggy rice,food
blinkit roll,food
primevide rental,entertainment
adidas shirt,shopping
nike order,shopping
ola SEAT,travel
croma ORDER,shopping
flight snacks,travel
AIRPORT meal,food
auto credit,other
lyft RIDE,travel
steam concert,entertainment
entry charge,other
flipkart watch,shopping
credit debit,other
irctc transfer,travel
ikea item,shopping
ola parking,travel
metro transfer,travel
nyka order,shopping
transfer MISC,other
spicejet seat,travel
lenskart cart,shopping
lenskart shoes,shopping
GROCERY basket,shopping
lyft TRANSFE,travel
primevideo rental,entertainment
transfer AUTO,other
INDIGO seat,travel
transfer entr,other
nykaa basket,shopping
dmar baske,shopping
VISTARA toll,travel
zepto combo,food
faasos bread,food
stea subscription,entertainment
audible game,entertainment
train snacks,travel
AUTO mandate,other
haldirams roll,food
bigbasket burger,food
decathlon bag,shopping
zara JACKET,shopping
ubereats wrap,food
SONY movi,entertainment
decathlon gear,shopping
amazon purchase,shopping
hotstar renta,entertainment
steam show,entertainment
decathlon JACKET,shopping
ikea set,shopping
mcdonalds wrap,food
SPICEJET FARE,travel
spicejet toll,travel
dmart basket,shopping
grocer basket,shopping
irctc pass,travel
lyft trip,travel
grocery BASKET,shopping
instamart snacks,food
fee processing,other
ubereats thali,food
DECATHLON basket,shopping
ECS hold,other
TXN CREDIT,other
grocery BASKET,shopping
RAPIDO booking,travel
xbox class,entertainment
prime sub,entertainment
zomato roll,food
zoomca fare,travel
plus sub,entertainment
flipkart orde,shopping
hotsta class,entertainment
revv pass,travel
ZOMATO rice,food
blinkit buffet,food
starbucks buffet,food
processing txn,other
STARBUCK lunch,food
meesho shoes,shopping
flight snacks,travel
TRAI snacks,travel
zepto biryan,food
myntra shoes,shopping
train seat,travel
hotstar show,entertainment
amount processing,other
service misc,other
zee5 movie,entertainment
irct ride,travel
lyft journey,travel
adjustment PROCESSING,other
NYKAA item,shopping
fee misc,other
ola toll,travel
auto UNKNOWN,other
entry PROCESSING,other
ecs txn,other
eatfit coffee,food
charge auto,other
haldirams meal,food
tacobel parcel,food
netflix entry,entertainment
grocery basket,shopping
mandat auto,other
AUTO hold,other
myntra SET,shopping
BIGBASKET shake,food
puma SHIR,shopping
revv bookin,travel
airport MEAL,food
uber fare,travel
ikea basket,shopping
XBOX ticket,entertainment
bikanerval meal,food
balance TRANSFER,other
ecs balance,other
faasos burger,food
rapid ticket,travel
myntra watch,shopping
DMART basket,shopping
mcdonalds COMBO,food
train meal,food
train SNACKS,food
ajio cart,shopping
amazon set,shopping
airport MEAL,food
subway buffet,food
bookmyshow clas,entertainment
train ticket,travel
REVV shuttle,travel
train snacks,travel
nike gear,shopping
TACOBELL wrap,food
revv parking,travel
spiceje pass,travel
zoomcar seat,travel
metro fare,travel
haldirams pizza,food
myntra bag,shopping
myntra set,shopping
xbox subscription,entertainment
flight snacks,travel
pro sub,entertainment
nyka jeans,shopping
xbox TICKET,entertainment
puma purchase,shopping
psplu concert,entertainment
IKEA gear,shopping
dmart basket,shopping
bookmyshow entry,entertainment
payment servic,other
airindia seat,travel
bus parking,travel
amazon shoes,shopping
PRIMEVIDEO class,entertainment
steam class,entertainment
balanc credi,other
ubereat MILK,food
bookmyshow music,entertainment
SPICEJET journey,travel
hotstar subscription,entertainment
airport SNACKS,food
grocery baske,shopping
vistar transfer,travel
unknown payment,other
txn service,other
starbucks comb,food
CROM item,shopping
hm order,shopping
netflix music,entertainment
flight snacks,travel
ikea purchase,shopping
debit misc,other
flight snacks,travel
psplus entr,entertainment
puma watch,shopping
fee service,other
ajio gear,shopping
mandate transfe,other
adidas ORDER,shopping
zara watch,shopping
amazo cart,shopping
primevideo ticket,entertainment
indigo commute,travel
bookmyshow class,entertainment
adidas order,shopping
puma bag,shopping
faaso milk,food
KFC meal,food
irctc trip,travel
zept PIZZA,food
revv transfer,travel
processing PROCESSING,other
FLIGHT snacks,travel
behrouz lunc,food
ubereats combo,food
service UNKNOWN,other
flight SNACKS,travel
adidas JACKET,shopping
MCDONALDS pizza,food
train meal,food
uber parking,travel
domino lunch,food
zara gear,shopping
hotstar GAME,entertainment
grocery basket,shopping
TACOBELL wrap,food
nykaa shirt,shopping
processing renewal,other
auto fee,other
auto debit,other
LENSKART JACKE,shopping
zepto BURGER,food
AIRINDIA BOOKING,travel
hold payment,other
mandat amount,other
train snacks,food
hold unknown,other
FLIGHT snacks,travel
OLA shuttle,travel
netflix rental,entertainment
zoomcar fare,travel
DMART basket,shopping
PLUS sub,entertainment
mandate debit,other
HOLD debit,other
psplus movi,entertainment
dmart BASKE,shopping
decathlon shir,shopping
LENSKART purchase,shopping
behrouz pizza,food
netflix event,entertainment
FEE auto,other
entry charge,other
hotstar SHOW,entertainment
grocery baske,shopping
uber journey,travel
faasos PARCEL,food
credit charg,other
CREDI service,other
grocery BASKE,shopping
airport SNACKS,food
airport ticke,travel
zee5 entry,entertainment
REVV parking,travel
sony event,entertainment
SWIGGY dinner,food
airport meal,food
amoun balance,other
primevideo MUSIC,entertainment
rapido shuttle,travel
mandate ecs,other
audibl pass,entertainment
sony event,entertainment
train snacks,travel
airport parking,travel
grocer basket,shopping
processing renewal,other
BOOKMYSHOW ticke,entertainment
revv ride,travel
grocery basket,shopping
hold balance,other
grocery basket,shopping
SERVICE misc,other
faasos MILK,food
misc adjustment,other
TRAIN SNACKS,food
adidas jeans,shopping
uber journey,travel
spotify pass,entertainment
dmart basket,shopping
STEAM rental,entertainment
bigbasket buffe,food
airport journey,travel
hm bag,shopping
airport meal,food
MISC adjustment,other
renewal payment,other
rapido TICKE,travel
box8 biryani,food
trai snacks,travel
youtube RENTAL,entertainment
train snacks,food
nykaa gear,shopping
TRAIN snack,travel
train meal,food
CREDIT TRANSFER,other
nykaa order,shopping
mcdonalds biryani,food
ENTRY unknown,other
revv parking,travel
myntra gear,shopping
spiceje ticket,travel
AIRPORT MEAL,food
AUTO hold,other
stea concer,entertainment
BIGBASKE shak,food
SPOTIFY movie,entertainment
hm shir,shopping
unknown ecs,other
audible class,entertainment
flipkart gear,shopping
HOLD mandate,other
zoomcar pass,travel
AIRPORT meal,food
airpor seat,travel
sony STREAM,entertainment
TRANSFER auto,other
amount entry,other
hm basket,shopping
payment fee,other
AIRPORT roll,food
airport meal,food
vistara commute,travel
netflix TICKET,entertainment
netflix game,entertainment
prime SUB,entertainment
zoomcar PASS,travel
service processing,other
transfer payment,other
netfli class,entertainment
auto auto,other
swigg BIRYAN,food
credit credit,other
airport bookin,travel
spicejet trip,travel
psplu ticket,entertainment
plus sub,entertainment
grocery basket,shopping
metr shuttle,travel
airindia shuttle,travel
rapido journey,travel
kfc SHAKE,food
hm set,shopping
bus TRIP,travel
grocery basket,shopping
lyft pass,travel
dmart basket,shopping
ajio jacket,shopping
train meal,food
AUDIBLE movie,entertainment
gaana game,entertainment
grocery baske,shopping
hm jacket,shopping
zee5 ticket,entertainment
amount CHARGE,other
entry balance,other
debit MISC,other
youtube ticket,entertainment
plus sub,entertainment
grocery BASKET,shopping
airpor snacks,food
auto fee,other
balance PROCESSING,other
meesho basket,shopping
CROMA jeans,shopping
subway milk,food
zomato lunch,food
train booking,travel
metro journey,travel
audible SHOW,entertainment
prime sub,entertainment
train meal,food
dmart basket,shopping
bookmyshow event,entertainment
puma cart,shopping
uber booking,travel
transfe charge,other
BOX8 COFFEE,food
spicejet toll,travel
PSPLUS PASS,entertainment
psplus game,entertainment
train snacks,travel
zepto coffee,food
dmart basket,shopping
debit transfer,other
eatfi rice,food
dmar basket,shopping
train snacks,food
meesho purchas,shopping
pro SUB,entertainment
bus transfer,travel
train meal,food
hm jacket,shopping
faaso milk,food
box8 COMBO,food
steam CLASS,entertainment
adidas purchase,shopping
sony ENTRY,entertainment
adidas order,shopping
auto servic,other
hold charge,other
ecs payment,other
BIGBASKET buffet,food
tacobel thali,food
MISC auto,other
irctc ticket,travel
myntr purchase,shopping
tacobell burger,food
hotstar game,entertainment
sony subscription,entertainment
subway shake,food
bigbasket wrap,food
amount credit,other
primevideo clas,entertainment
decathlon SET,shopping
HOLD misc,other
rapido bookin,travel
NYKAA gear,shopping
TRAIN shuttle,travel
subway snacks,food
ikea jacket,shopping
gaana subscription,entertainment
train SHUTTLE,travel
debit PAYMENT,other
debit DEBIT,other
xbox show,entertainment
ajio watc,shopping
KFC BURGER,food
audible concer,entertainment
ecs transfer,other
flipkart items,shopping
STEAM even,entertainment
myntr shoes,shopping
kfc shake,food
hold amount,other
vistara transfer,travel
uber pass,travel
grocery basket,shopping
nike jeans,shopping
netflix ENTRY,entertainment
nike shoes,shopping
irctc fare,travel
bus toll,travel
netflix CLASS,entertainment
hold entry,other
behrouz pizza,food
ajio purchase,shopping
faasos pizza,food
indigo ride,travel
airport meal,food
pro sub,entertainment
auto debit,other
zara jeans,shopping
decathlon cart,shopping
airport meal,food
ikea shirt,shopping
flight snacks,travel
gaana RENTAL,entertainment
MANDATE hold,other
trai snacks,travel
indigo ticket,travel
zee5 rental,entertainment
primevideo EVENT,entertainment
nike jacket,shopping
STARBUCKS dinne,food
train snack,travel
kfc ROLL,food
MANDATE ECS,other
starbucks bread,food
charge hold,other
zepto shak,food
myntra shoes,shopping
xbox ticket,entertainment
EATFIT BUFFE,food
IKEA JACKET,shopping
UBEREATS combo,food
steam ticket,entertainment
dominos rice,food
grocer basket,shopping
rapido ride,travel
bikanervala parcel,food
train trip,travel
behrouz shake,food
ola shuttle,travel
indig parking,travel
ola ride,travel
faasos bread,food
hold debi,other
steam pass,entertainment
airpor meal,food
balance MANDAT,other
audible show,entertainment
swigg roll,food
blinkit bread,food
train snacks,travel
paymen auto,other
zoomca seat,travel
instamart parcel,food
airport roll,food
BIKANERVALA pizza,food
gaana MUSIC,entertainment
hotsta subscription,entertainment
processing DEBIT,other
ENTRY entry,other
TRAIN meal,food
spicejet ticket,travel
hotstar ENTRY,entertainment
starbucks wrap,food
CROMA jacket,shopping
instamart PIZZA,food
zara bag,shopping
spotify RENTAL,entertainment
youtube class,entertainment
auto credit,other
mandate balanc,other
psplus event,entertainment
zee5 show,entertainment
netflix MUSIC,entertainment
PLUS sub,entertainment
metro ticket,travel
PSPLUS subscription,entertainment
zomat roll,food
charge paymen,other
sony movi,entertainment
PLUS sub,entertainment
hotsta event,entertainment
payment transfer,other
train snacks,travel
irctc parking,travel
uber parking,travel
transfer amount,other
bus SHUTTLE,travel
tacobel rice,food
transfer fee,other
xbox event,entertainment
LYFT seat,travel
spotify subscription,entertainment
train SNACKS,travel
spotif strea,entertainment
adjustmen ADJUSTMENT,other
spotify show,entertainment
zomato coffee,food
xbox class,entertainment
irctc PASS,travel
misc charge,other
transfer fee,other
renewal processing,other
myntra jeans,shopping
mcdonalds RICE,food
grocery basket,shopping
BUS booking,travel
spotify entry,entertainment
hold fee,other
txn BALANCE,other
airport snacks,food
txn service,other
dominos combo,food
SONY clas,entertainment
meesho JEANS,shopping
ola toll,travel
ubereat coffee,food
irctc seat,travel
zee5 ticket,entertainment
eatfit snacks,food
decathlon WATC,shopping
renewal misc,other
CHARGE payment,other
fee credi,other
haldirams snacks,food
adjustment BALANC,other
behrouz thal,food
ola TRANSFER,travel
CREDIT renewal,other
grocery basket,shopping
airport MEAL,food
hotstar SUBSCRIPTION,entertainment
amount debi,other
payment ECS,other
uber ticket,travel
bikanervala rice,food
uber commute,travel
ikea order,shopping
ECS mandat,other
haldirams lunch,food
REVV trip,travel
processing credit,other
spicejet commute,travel
PLUS sub,entertainment
ZOMATO RICE,food
processing transfer,other
hold debit,other
vistara seat,travel
behrouz meal,food
TRAIN journey,travel
credit txn,other
processing auto,other
payment amoun,other
NYKAA PURCHASE,shopping
plus sub,entertainment
flipkart baske,shopping
vistar commute,travel
airport SNACKS,food
balance credit,other
flipkart watch,shopping
TRAI meal,food
gaana game,entertainment
youtube rental,entertainment
netflix show,entertainment
lenskart watch,shopping
faasos rice,food
rapido transfe,travel
mcdonalds ROLL,food
IRCTC ticket,travel
fligh snacks,travel
ola seat,travel
uber parking,travel
ikea purchase,shopping
airport meal,food
train SNACKS,travel
youtube movie,entertainment
instamart burger,food
YOUTUBE pass,entertainment
dmart basket,shopping
bikanerval pizza,food
youtube stream,entertainment
blinkit coffee,food
swiggy buffet,food
adidas order,shopping
zee5 music,entertainment
audible rental,entertainment
GROCERY basket,shopping
lyft seat,travel
train snack,travel
UBER transfer,travel
irctc booking,travel
blinkit shake,food
ikea gear,shopping
box8 comb,food
gaan game,entertainment
irctc trip,travel
behrouz roll,food
dominos dinner,food
hotstar class,entertainment
instamart biryani,food
croma purchase,shopping
service payment,other
zara watch,shopping
decathlon order,shopping
dominos roll,food
grocery basket,shopping
UBER booking,travel
vistar ticke,travel
netflix entr,entertainment
train snack,travel
payment payment,other
hm SHIRT,shopping
box8 shake,food
eatfit THAL,food
ecs ecs,other
amazon CART,shopping
audible class,entertainment
ajio set,shopping
ajio watch,shopping
tacobell lunch,food
flight snack,travel
grocery basket,shopping
prime sub,entertainment
nykaa set,shopping
zepto shake,food
zomato milk,food
bookmyshow ticket,entertainment
renewal payment,other
NIKE bag,shopping
eatfit meal,food
TACOBELL BUFFET,food
croma bag,shopping
AMOUNT debit,other
sony game,entertainment
credit credit,other
balance adjustment,other
eatfit coffee,food
FLIPKAR items,shopping
adjustmen renewal,other
service HOLD,other
MCDONALDS rice,food
youtube RENTAL,entertainment
debit processing,other
AIRINDI toll,travel
trai journey,travel
box8 snacks,food
prime sub,entertainment
indigo toll,travel
train meal,food
revv parking,travel
metro fare,travel
fee debit,other
myntra SET,shopping
airport trip,travel
AIRPORT snack,food
youtube entr,entertainment
puma jeans,shopping
xbox CONCERT,entertainment
croma basket,shopping
eatfit pizz,food
balance paymen,other
train snacks,food
prime sub,entertainment
