text,category
zomato recharge monthly,food
dominos bill one time,food
dominos payment family use,food
mcdonalds recharge personal use,food
starbucks booking urgent,food
bigbasket subscription routine,food
starbucks recharge for office use,food
mcdonalds recharge during weekend,food
mcdonalds purchase late night,food
bigbasket payment while travelling,food
dmart expense monthly,food
swiggy subscription one time,food
kfc purchase family use,food
local cafe payment personal use,food
local cafe payment urgent,food
kfc booking routine,food
roadside dhaba payment for office use,food
zepto order during weekend,food
kfc order late night,food
bigbasket purchase while travelling,food
zepto booking monthly,food
bigbasket monthly charge one time,food
local cafe subscription family use,food
dominos transaction personal use,food
zepto purchase urgent,food
local cafe order routine,food
mcdonalds purchase for office use,food
zepto payment during weekend,food
mcdonalds transaction late night,food
reliance smart recharge while travelling,food
ccd booking monthly,food
zomato transaction one time,food
dmart booking family use,food
zomato monthly charge personal use,food
roadside dhaba transaction urgent,food
local cafe purchase routine,food
local cafe transaction for office use,food
local cafe payment during weekend,food
starbucks expense late night,food
ccd subscription while travelling,food
zomato expense monthly,food
reliance smart subscription one time,food
swiggy recharge family use,food
roadside dhaba bill personal use,food
zomato recharge urgent,food
starbucks bill routine,food
dmart order for office use,food
ccd order during weekend,food
dmart expense late night,food
reliance smart monthly charge while travelling,food
zepto expense monthly,food
local cafe bill one time,food
bigbasket recharge family use,food
roadside dhaba transaction personal use,food
mcdonalds subscription urgent,food
roadside dhaba booking routine,food
roadside dhaba purchase for office use,food
mcdonalds bill during weekend,food
kfc bill late night,food
zepto transaction while travelling,food
reliance smart recharge monthly,food
starbucks payment one time,food
bigbasket subscription family use,food
dominos bill personal use,food
kfc subscription urgent,food
local cafe monthly charge routine,food
starbucks monthly charge for office use,food
zepto monthly charge during weekend,food
blinkit payment late night,food
blinkit booking while travelling,food
zomato booking monthly,food
dmart recharge one time,food
bigbasket expense family use,food
local cafe booking personal use,food
dmart bill urgent,food
reliance smart bill routine,food
bigbasket payment for office use,food
zomato monthly charge during weekend,food
kfc recharge late night,food
dmart booking while travelling,food
mcdonalds transaction monthly,food
starbucks bill one time,food
blinkit expense family use,food
starbucks recharge personal use,food
dmart expense urgent,food
starbucks subscription routine,food
dmart bill for office use,food
mcdonalds monthly charge during weekend,food
mcdonalds booking late night,food
zomato booking while travelling,food
starbucks purchase monthly,food
dmart expense one time,food
local cafe order family use,food
kfc booking personal use,food
dmart bill urgent,food
mcdonalds transaction routine,food
local cafe expense for office use,food
zepto monthly charge during weekend,food
zomato booking late night,food
mcdonalds booking while travelling,food
starbucks order monthly,food
mcdonalds payment one time,food
dmart expense family use,food
dominos monthly charge personal use,food
swiggy payment urgent,food
blinkit monthly charge routine,food
dmart order for office use,food
reliance smart bill during weekend,food
zomato payment late night,food
zepto monthly charge while travelling,food
bigbasket bill monthly,food
bigbasket subscription one time,food
dominos payment family use,food
mcdonalds bill personal use,food
zomato purchase urgent,food
ccd bill routine,food
zomato transaction for office use,food
reliance smart payment during weekend,food
dominos order late night,food
local cafe transaction while travelling,food
mcdonalds purchase monthly,food
kfc purchase one time,food
blinkit recharge family use,food
zepto transaction personal use,food
local cafe transaction urgent,food
kfc expense routine,food
ccd bill for office use,food
bigbasket monthly charge during weekend,food
roadside dhaba transaction late night,food
ccd monthly charge while travelling,food
zepto transaction monthly,food
swiggy transaction one time,food
dmart purchase family use,food
local cafe booking personal use,food
reliance smart booking urgent,food
mcdonalds purchase routine,food
dominos booking for office use,food
dominos expense during weekend,food
zomato order late night,food
swiggy recharge while travelling,food
bigbasket transaction monthly,food
bigbasket monthly charge one time,food
swiggy booking family use,food
mcdonalds monthly charge personal use,food
dmart bill urgent,food
zomato booking routine,food
mcdonalds transaction for office use,food
reliance smart booking during weekend,food
ccd purchase late night,food
blinkit booking while travelling,food
reliance smart order monthly,food
mcdonalds order one time,food
zomato payment family use,food
dominos monthly charge personal use,food
zepto transaction urgent,food
mcdonalds bill routine,food
zomato bill for office use,food
dmart monthly charge during weekend,food
dmart recharge late night,food
mcdonalds expense while travelling,food
blinkit bill monthly,food
bigbasket purchase one time,food
zepto payment family use,food
ccd subscription personal use,food
zepto monthly charge urgent,food
swiggy purchase routine,food
kfc transaction for office use,food
zepto payment during weekend,food
local cafe monthly charge late night,food
zepto payment while travelling,food
local cafe order monthly,food
bigbasket expense one time,food
reliance smart bill family use,food
mcdonalds order personal use,food
zepto recharge urgent,food
reliance smart bill routine,food
zomato bill for office use,food
starbucks recharge during weekend,food
starbucks subscription late night,food
reliance smart purchase while travelling,food
roadside dhaba order monthly,food
starbucks recharge one time,food
dmart bill family use,food
mcdonalds recharge personal use,food
roadside dhaba expense urgent,food
swiggy bill routine,food
zomato subscription for office use,food
mcdonalds subscription during weekend,food
zomato recharge late night,food
roadside dhaba expense while travelling,food
roadside dhaba payment monthly,food
reliance smart expense one time,food
bigbasket recharge family use,food
swiggy booking personal use,food
blinkit subscription urgent,food
zepto bill routine,food
reliance smart bill for office use,food
local cafe payment during weekend,food
kfc monthly charge late night,food
blinkit order while travelling,food
mcdonalds bill monthly,food
dmart bill one time,food
zomato payment family use,food
reliance smart transaction personal use,food
local cafe booking urgent,food
dmart order routine,food
mcdonalds expense for office use,food
swiggy expense during weekend,food
ccd purchase late night,food
kfc purchase while travelling,food
bigbasket purchase monthly,food
reliance smart order one time,food
bigbasket monthly charge family use,food
blinkit monthly charge personal use,food
ccd bill urgent,food
bigbasket booking routine,food
bigbasket expense for office use,food
dominos recharge during weekend,food
kfc transaction late night,food
blinkit order while travelling,food
roadside dhaba purchase monthly,food
mcdonalds recharge one time,food
starbucks expense family use,food
mcdonalds payment personal use,food
mcdonalds monthly charge urgent,food
roadside dhaba transaction routine,food
zepto bill for office use,food
roadside dhaba order during weekend,food
bigbasket expense late night,food
bigbasket subscription while travelling,food
starbucks expense monthly,food
local cafe expense one time,food
ccd bill family use,food
starbucks booking personal use,food
dmart booking urgent,food
zepto recharge routine,food
kfc recharge for office use,food
swiggy subscription during weekend,food
dmart bill late night,food
dmart recharge while travelling,food
ccd order monthly,food
bigbasket payment one time,food
dominos expense family use,food
zepto subscription personal use,food
roadside dhaba purchase urgent,food
roadside dhaba bill routine,food
zomato expense for office use,food
bigbasket payment during weekend,food
dmart order late night,food
ccd order while travelling,food
zomato bill monthly,food
local cafe monthly charge one time,food
starbucks transaction family use,food
dmart recharge personal use,food
reliance smart purchase urgent,food
roadside dhaba subscription routine,food
roadside dhaba expense for office use,food
ccd subscription during weekend,food
reliance smart bill late night,food
roadside dhaba expense while travelling,food
swiggy transaction monthly,food
zomato booking one time,food
reliance smart monthly charge family use,food
kfc purchase personal use,food
ccd purchase urgent,food
local cafe purchase routine,food
bigbasket order for office use,food
dmart monthly charge during weekend,food
swiggy payment late night,food
starbucks payment while travelling,food
mcdonalds subscription monthly,food
starbucks recharge one time,food
dominos booking family use,food
blinkit recharge personal use,food
zepto order urgent,food
dominos order routine,food
zomato transaction for office use,food
roadside dhaba recharge during weekend,food
zepto booking late night,food
bigbasket transaction while travelling,food
dominos booking monthly,food
bigbasket monthly charge one time,food
bigbasket monthly charge family use,food
reliance smart payment personal use,food
local cafe bill urgent,food
mcdonalds expense routine,food
dominos purchase for office use,food
bigbasket subscription during weekend,food
zepto monthly charge late night,food
reliance smart recharge while travelling,food
dmart monthly charge monthly,food
bigbasket monthly charge one time,food
kfc recharge family use,food
roadside dhaba bill personal use,food
zomato booking urgent,food
ccd transaction routine,food
starbucks transaction for office use,food
mcdonalds monthly charge during weekend,food
swiggy recharge late night,food
mcdonalds payment while travelling,food
zepto payment monthly,food
zepto bill one time,food
roadside dhaba monthly charge family use,food
local cafe booking personal use,food
zepto subscription urgent,food
kfc booking routine,food
zepto monthly charge for office use,food
reliance smart order during weekend,food
reliance smart purchase late night,food
reliance smart payment while travelling,food
mcdonalds bill monthly,food
swiggy transaction one time,food
starbucks order family use,food
zomato monthly charge personal use,food
starbucks recharge urgent,food
dominos booking routine,food
dominos expense for office use,food
starbucks expense during weekend,food
blinkit monthly charge late night,food
roadside dhaba order while travelling,food
mcdonalds bill monthly,food
local cafe monthly charge one time,food
dmart subscription family use,food
local cafe purchase personal use,food
bigbasket purchase urgent,food
dominos booking routine,food
roadside dhaba recharge for office use,food
roadside dhaba expense during weekend,food
starbucks purchase late night,food
local cafe recharge while travelling,food
swiggy monthly charge monthly,food
blinkit purchase one time,food
bigbasket subscription family use,food
reliance smart monthly charge personal use,food
zepto recharge urgent,food
roadside dhaba subscription routine,food
zomato booking for office use,food
bigbasket payment during weekend,food
zepto expense late night,food
starbucks transaction while travelling,food
kfc purchase monthly,food
reliance smart bill one time,food
dmart monthly charge family use,food
reliance smart recharge personal use,food
zomato order urgent,food
swiggy payment routine,food
mcdonalds bill for office use,food
zomato purchase during weekend,food
kfc expense late night,food
dominos recharge while travelling,food
bigbasket subscription monthly,food
reliance smart expense one time,food
ccd transaction family use,food
dmart order personal use,food
ccd purchase urgent,food
roadside dhaba bill routine,food
zepto recharge for office use,food
mcdonalds payment during weekend,food
dmart subscription late night,food
kfc bill while travelling,food
bigbasket booking monthly,food
roadside dhaba subscription one time,food
zomato subscription family use,food
blinkit subscription personal use,food
swiggy recharge urgent,food
mcdonalds booking routine,food
zomato bill for office use,food
zomato booking during weekend,food
reliance smart transaction late night,food
swiggy payment while travelling,food
local cafe subscription monthly,food
kfc order one time,food
local cafe transaction family use,food
kfc purchase personal use,food
roadside dhaba expense urgent,food
kfc transaction routine,food
kfc booking for office use,food
starbucks order during weekend,food
local cafe transaction late night,food
swiggy monthly charge while travelling,food
roadside dhaba order monthly,food
dominos expense one time,food
mcdonalds order family use,food
zomato payment personal use,food
dominos payment urgent,food
starbucks booking routine,food
zepto subscription for office use,food
swiggy order during weekend,food
mcdonalds payment late night,food
dominos recharge while travelling,food
blinkit purchase monthly,food
dmart purchase one time,food
bigbasket bill family use,food
local cafe subscription personal use,food
blinkit transaction urgent,food
zomato bill routine,food
blinkit booking for office use,food
zepto payment during weekend,food
dmart expense late night,food
mcdonalds bill while travelling,food
reliance smart payment monthly,food
swiggy bill one time,food
roadside dhaba recharge family use,food
ccd purchase personal use,food
bigbasket bill urgent,food
zomato purchase routine,food
starbucks transaction for office use,food
dominos purchase during weekend,food
dominos monthly charge late night,food
zepto transaction while travelling,food
blinkit subscription monthly,food
ccd transaction one time,food
blinkit monthly charge family use,food
bigbasket expense personal use,food
zepto recharge urgent,food
zomato purchase routine,food
roadside dhaba expense for office use,food
dmart booking during weekend,food
ccd bill late night,food
kfc recharge while travelling,food
starbucks bill monthly,food
ccd recharge one time,food
dmart purchase family use,food
starbucks recharge personal use,food
starbucks monthly charge urgent,food
starbucks order routine,food
reliance smart bill for office use,food
zomato purchase during weekend,food
roadside dhaba purchase late night,food
zomato recharge while travelling,food
zomato subscription monthly,food
local cafe order one time,food
blinkit payment family use,food
zepto expense personal use,food
blinkit subscription urgent,food
reliance smart purchase routine,food
ccd subscription for office use,food
roadside dhaba recharge during weekend,food
roadside dhaba payment late night,food
mcdonalds transaction while travelling,food
mcdonalds subscription monthly,food
zomato transaction one time,food
blinkit booking family use,food
dominos bill personal use,food
kfc purchase urgent,food
starbucks expense routine,food
starbucks purchase for office use,food
local cafe monthly charge during weekend,food
zepto booking late night,food
local cafe recharge while travelling,food
roadside dhaba expense monthly,food
local cafe transaction one time,food
zepto expense family use,food
swiggy transaction personal use,food
reliance smart monthly charge urgent,food
swiggy order routine,food
mcdonalds monthly charge for office use,food
starbucks subscription during weekend,food
swiggy order late night,food
roadside dhaba order while travelling,food
zepto recharge monthly,food
zomato order one time,food
dmart payment family use,food
zomato expense personal use,food
kfc recharge urgent,food
ccd bill routine,food
starbucks order for office use,food
starbucks monthly charge during weekend,food
dmart subscription late night,food
local cafe transaction while travelling,food
zepto purchase monthly,food
swiggy order one time,food
dominos transaction family use,food
swiggy purchase personal use,food
mcdonalds bill urgent,food
reliance smart recharge routine,food
bigbasket transaction for office use,food
bigbasket recharge during weekend,food
mcdonalds booking late night,food
local cafe expense while travelling,food
zomato subscription monthly,food
ccd purchase one time,food
mcdonalds transaction family use,food
bigbasket expense personal use,food
reliance smart monthly charge urgent,food
swiggy booking routine,food
ccd transaction for office use,food
swiggy payment during weekend,food
kfc monthly charge late night,food
kfc order while travelling,food
local cafe monthly charge monthly,food
mcdonalds subscription one time,food
zomato payment family use,food
bigbasket recharge personal use,food
dominos order urgent,food
ccd expense routine,food
dmart booking for office use,food
blinkit expense during weekend,food
roadside dhaba subscription late night,food
zomato recharge while travelling,food
roadside dhaba payment monthly,food
ccd payment one time,food
bigbasket purchase family use,food
roadside dhaba subscription personal use,food
zepto recharge urgent,food
zepto recharge routine,food
dmart recharge for office use,food
mcdonalds purchase during weekend,food
ccd payment late night,food
starbucks order while travelling,food
local cafe transaction monthly,food
bigbasket subscription one time,food
zomato recharge family use,food
roadside dhaba purchase personal use,food
kfc recharge urgent,food
zepto recharge routine,food
blinkit purchase for office use,food
ccd monthly charge during weekend,food
dmart subscription late night,food
kfc subscription while travelling,food
local cafe order monthly,food
zomato expense one time,food
reliance smart purchase family use,food
blinkit expense personal use,food
kfc subscription urgent,food
starbucks order routine,food
kfc purchase for office use,food
dominos monthly charge during weekend,food
kfc order late night,food
zepto order while travelling,food
local cafe purchase monthly,food
dominos bill one time,food
bigbasket transaction family use,food
local cafe transaction personal use,food
bigbasket transaction urgent,food
reliance smart transaction routine,food
starbucks subscription for office use,food
dominos bill during weekend,food
zomato bill late night,food
bigbasket monthly charge while travelling,food
local cafe monthly charge monthly,food
zepto payment one time,food
starbucks expense family use,food
zomato monthly charge personal use,food
bigbasket bill urgent,food
swiggy payment routine,food
starbucks monthly charge for office use,food
zomato purchase during weekend,food
zepto transaction late night,food
blinkit recharge while travelling,food
bigbasket transaction monthly,food
blinkit payment one time,food
bigbasket transaction family use,food
reliance smart booking personal use,food
starbucks transaction urgent,food
bigbasket expense routine,food
dominos payment for office use,food
bigbasket purchase during weekend,food
local cafe subscription late night,food
dmart purchase while travelling,food
blinkit order monthly,food
swiggy booking one time,food
dmart bill family use,food
bigbasket expense personal use,food
blinkit transaction urgent,food
dominos subscription routine,food
starbucks monthly charge for office use,food
ccd recharge during weekend,food
local cafe subscription late night,food
reliance smart transaction while travelling,food
swiggy subscription monthly,food
zomato subscription one time,food
zomato expense family use,food
reliance smart recharge personal use,food
mcdonalds monthly charge urgent,food
dmart transaction routine,food
roadside dhaba order for office use,food
starbucks purchase during weekend,food
zepto order late night,food
starbucks monthly charge while travelling,food
reliance smart recharge monthly,food
dominos transaction one time,food
dmart purchase family use,food
mcdonalds expense personal use,food
ccd subscription urgent,food
roadside dhaba order routine,food
reliance smart expense for office use,food
zomato recharge during weekend,food
blinkit subscription late night,food
swiggy subscription while travelling,food
mcdonalds order monthly,food
kfc subscription one time,food
local cafe bill family use,food
kfc booking personal use,food
dominos order urgent,food
zomato monthly charge routine,food
roadside dhaba purchase for office use,food
blinkit expense during weekend,food
roadside dhaba expense late night,food
swiggy subscription while travelling,food
local cafe transaction monthly,food
dominos transaction one time,food
ccd order family use,food
dominos order personal use,food
roadside dhaba transaction urgent,food
local cafe order routine,food
dmart bill for office use,food
swiggy recharge during weekend,food
starbucks booking late night,food
bigbasket transaction while travelling,food
mcdonalds bill monthly,food
kfc expense one time,food
kfc monthly charge family use,food
local cafe bill personal use,food
roadside dhaba booking urgent,food
starbucks transaction routine,food
bigbasket bill for office use,food
local cafe monthly charge during weekend,food
local cafe recharge late night,food
blinkit expense while travelling,food
ccd order monthly,food
roadside dhaba booking one time,food
local cafe transaction family use,food
dominos monthly charge personal use,food
swiggy bill urgent,food
roadside dhaba subscription routine,food
blinkit purchase for office use,food
dmart expense during weekend,food
roadside dhaba purchase late night,food
mcdonalds purchase while travelling,food
local cafe order monthly,food
mcdonalds bill one time,food
blinkit order family use,food
roadside dhaba recharge personal use,food
zomato booking urgent,food
roadside dhaba bill routine,food
starbucks payment for office use,food
ccd payment during weekend,food
ccd expense late night,food
starbucks booking while travelling,food
ccd purchase monthly,food
starbucks booking one time,food
swiggy subscription family use,food
zomato subscription personal use,food
local cafe order urgent,food
dominos payment routine,food
mcdonalds bill for office use,food
dmart order during weekend,food
local cafe bill late night,food
bigbasket transaction while travelling,food
swiggy purchase monthly,food
swiggy monthly charge one time,food
kfc order family use,food
blinkit transaction personal use,food
blinkit recharge urgent,food
zomato monthly charge routine,food
kfc monthly charge for office use,food
zomato payment during weekend,food
kfc recharge late night,food
reliance smart transaction while travelling,food
bigbasket purchase monthly,food
zomato bill one time,food
zepto expense family use,food
swiggy expense personal use,food
zepto booking urgent,food
dmart order routine,food
mcdonalds recharge for office use,food
swiggy transaction during weekend,food
starbucks booking late night,food
zepto recharge while travelling,food
dominos purchase monthly,food
blinkit subscription one time,food
zomato expense family use,food
blinkit expense personal use,food
local cafe expense urgent,food
blinkit payment routine,food
ccd bill for office use,food
swiggy recharge during weekend,food
starbucks monthly charge late night,food
dmart payment while travelling,food
starbucks purchase monthly,food
starbucks booking one time,food
dmart purchase family use,food
local cafe transaction personal use,food
dmart subscription urgent,food
dominos payment routine,food
starbucks expense for office use,food
starbucks order during weekend,food
roadside dhaba bill late night,food
dmart bill while travelling,food
reliance smart order monthly,food
local cafe order one time,food
zomato bill family use,food
swiggy monthly charge personal use,food
kfc payment urgent,food
local cafe booking routine,food
swiggy subscription for office use,food
mcdonalds expense during weekend,food
ccd expense late night,food
bigbasket monthly charge while travelling,food
swiggy booking monthly,food
mcdonalds subscription one time,food
roadside dhaba payment family use,food
roadside dhaba subscription personal use,food
mcdonalds purchase urgent,food
local cafe subscription routine,food
ccd recharge for office use,food
dmart bill during weekend,food
ccd subscription late night,food
dominos bill while travelling,food
dmart bill monthly,food
starbucks expense one time,food
mcdonalds purchase family use,food
dmart recharge personal use,food
zomato recharge urgent,food
zepto order routine,food
blinkit monthly charge for office use,food
starbucks purchase during weekend,food
zomato subscription late night,food
reliance smart monthly charge while travelling,food
mcdonalds bill monthly,food
zepto recharge one time,food
dominos bill family use,food
starbucks bill personal use,food
swiggy subscription urgent,food
zepto recharge routine,food
mcdonalds payment for office use,food
zomato recharge during weekend,food
starbucks expense late night,food
local cafe order while travelling,food
swiggy order monthly,food
roadside dhaba transaction one time,food
reliance smart bill family use,food
swiggy order personal use,food
zomato booking urgent,food
local cafe subscription routine,food
starbucks recharge for office use,food
zepto payment during weekend,food
zepto order late night,food
reliance smart bill while travelling,food
starbucks subscription monthly,food
bigbasket purchase one time,food
zepto order family use,food
blinkit subscription personal use,food
ccd subscription urgent,food
reliance smart monthly charge routine,food
kfc purchase for office use,food
swiggy order during weekend,food
bigbasket expense late night,food
ccd expense while travelling,food
zomato monthly charge monthly,food
local cafe monthly charge one time,food
dmart bill family use,food
kfc transaction personal use,food
